lease_bs_brand_jqxx.brandid,lease_bs_brand_jqxx.brandname,lease_bs_brand_jqxx.brandnameen,lease_bs_brand_jqxx.brandnamech,lease_bs_brand_jqxx.recordstatus,lease_bs_brand_jqxx.formatname,lease_bs_brand_jqxx.mainformatname,lease_bs_brand_jqxx.detailformatname
1028481,稻尚道,无,稻尚道,ACTIVE,餐饮美食,简餐,中式快餐
1028638,东宇野生海参,东宇野生海参,东宇野生海参,ACTIVE,生活精品,烟酒食品,滋补保健
1028792,小燕美甲,无,小燕美甲,ACTIVE,体验业态,专业美护,美睫美甲
1028707,木兰芭莎,木兰芭莎,木兰芭莎,ACTIVE,服装服饰,男女集合,国内休闲
1028650,ANOTHER ONE,ANOTHER ONE,ANOTHER ONE,ACTIVE,服装服饰,女装,少淑女
1029648,Mepool,Mepool,Mepool,ACTIVE,儿童业态,儿童教育,儿童培训
1029646,东咪堂,DMT,东咪堂,ACTIVE,儿童业态,儿童零售,文教玩具
1029653,烹派,PENGPAI,烹派,ACTIVE,餐饮美食,简餐,中式快餐
1029642,北家姓,无,北家姓,ACTIVE,餐饮美食,锅类,小涮锅
1029656,奇妙童玩,无,奇妙童玩,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1029666,钰琦舞蹈,无,钰琦舞蹈,ACTIVE,儿童业态,儿童教育,儿童培训
1030512,芭依璐,bayilu,芭依璐,ACTIVE,服装服饰,女装,少淑女
1030510,1/7户外玩吧,huwaiyundongba,1/7户外玩吧,ACTIVE,生活精品,运动,户外运动
1030507,一诺便利店,yinuobianlidian,一诺便利店,ACTIVE,体验业态,生活服务,便利店
1030540,法卡曼,facaman,法卡曼,ACTIVE,服装服饰,男装,时尚
1030544,海澜华菲,无,海澜华菲,ACTIVE,服装服饰,男装,时尚
1030052,ACTREE,ACTREE,ACTREE,ACTIVE,服装服饰,女装,少淑女
1030080,粉丝班,fensiban,粉丝班,ACTIVE,餐饮美食,简餐,米线/米粉
